disease,symptoms
vaginal yeast infection,"suprapubic pain, sharp abdominal pain, vaginal itching, painful urination, lower abdominal pain, vaginal discharge, vaginal pain, vaginal redness, vulvar irritation, itching of skin"
mastoiditis,"dizziness, cough, nasal congestion, diminished hearing, facial pain, ear pain"
lung contusion,"shortness of breath, sharp chest pain, back pain, ache all over"
hypertrophic obstructive cardiomyopathy (hocm),"anxiety and nervousness, sharp chest pain, emotional symptoms"
ingrown toe nail,"abnormal appearing skin, skin growth, neck swelling, foot or toe pain, foot or toe swelling, skin on leg or foot looks infected, swollen eye, irregular appearing nails, skin dryness, peeling, scaliness, or roughness, skin on arm or hand looks infected"
pulmonary eosinophilia,"shortness of breath, sharp chest pain, dizziness, cough, nasal congestion, paresthesia, fever"
corneal disorder,"white discharge from eye, diminished vision, double vision, symptoms of eye, pain in eye, foreign body sensation in eye, spots or clouds in vision, eye redness, lacrimation, itchiness of eye"
foreign body in the gastrointestinal tract,"lump in throat, difficulty in swallowing, sharp abdominal pain, vomiting, vomiting blood, recent weight loss"
endophthalmitis,"painful urination, diminished vision, pain in eye, eye redness, itchiness of eye, swollen eye"
intestinal malabsorption,"cough, nasal congestion, flatulence, sharp abdominal pain, vomiting, diarrhea, allergic reaction"
viral warts,"skin swelling, lip swelling, abnormal appearing skin, skin lesion, acne or pimples, skin growth, skin moles, warts, bumps on penis"
hyperhidrosis,"cough, acne or pimples, fever, sweating, warts"
stroke,"depressive or psychotic symptoms, dizziness, abnormal involuntary movements, difficulty speaking, headache, problems with movement, focal weakness, slurring words, disturbance of memory, seizures"
pilonidal cyst,"skin swelling, skin growth, irregular appearing scalp, pain of the anus, pelvic pain, bones are painful, ache all over, lower body pain"
crushing injury,"hand or finger pain, hand or finger swelling, hand or finger stiffness or tightness, neck swelling, foot or toe pain, knee swelling"
normal pressure hydrocephalus,"depressive or psychotic symptoms, palpitations, headache, problems with movement"
alopecia,"skin swelling, feeling ill, acne or pimples, skin growth, irregular appearing scalp, itching of skin, too little hair, skin rash"
hashimoto thyroiditis,"abnormal involuntary movements, weight gain"
flat feet,"skin swelling, knee pain, foot or toe pain, ankle pain, problems with movement"
nonalcoholic liver disease (nash),"dizziness, sharp abdominal pain, nausea, mouth ulcer, weight gain"
hemarthrosis,"elbow weakness, frequent urination, knee pain, knee swelling"
pelvic organ prolapse,"retention of urine, suprapubic pain, involuntary urination, frequent urination, vaginal discharge, blood in urine, intermenstrual bleeding, vaginal pain, symptoms of bladder"
fracture of the arm,"wrist pain, arm pain, wrist swelling, arm stiffness or tightness, arm swelling, wrist stiffness or tightness, elbow pain, shoulder pain, shoulder stiffness or tightness, elbow swelling"
coagulation (bleeding) disorder,"leg pain, blood in urine, knee swelling, eye redness, melena"
intracranial hemorrhage,"depressive or psychotic symptoms, dizziness, abnormal involuntary movements, difficulty speaking, vomiting, headache, diminished vision, seizures"
hyperkalemia,"shortness of breath, depressive or psychotic symptoms, sharp chest pain, dizziness, difficulty in swallowing, feeling ill, vomiting, nausea, weakness, decreased heart rate"
cornea infection,"lip swelling, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, spots or clouds in vision, eye redness, lacrimation, itchiness of eye, eye burns or stings, swollen eye"
abscess of the lung,"shortness of breath, depressive or psychotic symptoms, cough, itchy eyelid"
dengue fever,"sore throat, wrist pain"
chronic sinusitis,"sore throat, cough, headache, facial pain, ear pain, frontal headache, fever, congestion in chest, sinus congestion, painful sinuses"
cholesteatoma,"nasal congestion, diminished hearing, pus draining from ear, muscle swelling"
volvulus,"depressive or psychotic symptoms, elbow weakness, sharp abdominal pain, vomiting"
injury to the finger,"swelling of scrotum, hand or finger pain, hand or finger swelling, hand or finger stiffness or tightness"
poisoning due to analgesics,"depression, depressive or psychotic symptoms, skin swelling, abusing alcohol, vomiting, problems during pregnancy"
atrial fibrillation,"shortness of breath, sharp chest pain, dizziness, palpitations, irregular heartbeat, decreased heart rate, increased heart rate, fatigue"
pinworm infection,"retention of urine, sharp abdominal pain, painful urination, pain of the anus, constipation, itching of the anus"
urethral valves,"suprapubic pain, elbow weakness, sharp abdominal pain, lower abdominal pain, side pain"
open wound of the neck,"skin swelling, abnormal appearing skin, skin lesion, peripheral edema, ache all over"
achalasia,"sharp chest pain, chest tightness, cough, throat feels tight, difficulty in swallowing"
conductive hearing loss,"dizziness, hoarse voice, difficulty speaking, diminished hearing, ear pain, ringing in ear, plugged feeling in ear, fluid in ear, redness in ear, low self-esteem"
abdominal hernia,"groin mass, symptoms of the scrotum and testes, sharp abdominal pain, lower abdominal pain, regurgitation, ache all over, upper abdominal pain, swollen abdomen, regurgitation.1, irregular belly button"
cerebral palsy,"lack of growth, problems with movement, infant feeding problem, blindness, cramps and spasms, seizures"
marijuana abuse,"anxiety and nervousness, depression, depressive or psychotic symptoms, difficulty speaking, abusing alcohol, hostile behavior, drug abuse, excessive anger, delusions or hallucinations, temper problems, fears and phobias, low self-esteem"
cryptococcosis,"depressive or psychotic symptoms, cross-eyed"
obesity,"weight gain, excessive appetite, sleepiness"
indigestion,"sharp chest pain, sharp abdominal pain, vomiting, nausea, diarrhea, burning abdominal pain, heartburn, decreased appetite, stomach bloating"
bursitis,"leg pain, hip pain, arm pain, arm stiffness or tightness, arm swelling, knee pain, elbow pain, knee swelling, leg swelling, shoulder pain, shoulder stiffness or tightness, elbow swelling"
esophageal cancer,"shortness of breath, hoarse voice, sharp abdominal pain, decreased appetite, stomach bloating"
pulmonary congestion,"shortness of breath, sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, weakness, decreased heart rate, fever"
juvenile rheumatoid arthritis,"hand or finger pain, wrist swelling, back pain, knee pain, joint pain"
actinic keratosis,"skin swelling, abnormal appearing skin, skin lesion, skin growth, irregular appearing scalp, skin moles, symptoms of the face, itching of skin, skin dryness, peeling, scaliness, or roughness, skin irritation, skin rash"
acute otitis media,"sore throat, cough, nasal congestion, diminished hearing, ear pain, plugged feeling in ear, fluid in ear, fever, coryza, redness in ear"
astigmatism,"eye deviation, diminished vision, double vision, symptoms of eye, pain in eye, foreign body sensation in eye, spots or clouds in vision, lacrimation"
tuberous sclerosis,"depressive or psychotic symptoms, elbow weakness, seizures"
empyema,"shortness of breath, sharp chest pain, cough, leg pain"
presbyacusis,"dizziness, diminished hearing, emotional symptoms, ear pain, ringing in ear"
neonatal jaundice,"lack of growth, jaundice, irritable infant, infant feeding problem, changes in stool appearance"
chronic obstructive pulmonary disease (copd),"shortness of breath, sharp chest pain, chest tightness, sore throat, cough, nasal congestion, wheezing, fever, coughing up sputum, coryza, congestion in chest"
dislocation of the elbow,"depression, irritable infant, wrist pain, arm pain, arm stiffness or tightness, elbow pain, elbow swelling"
spondylosis,"leg pain, hip pain, arm pain, back pain, neck pain, low back pain, knee pain, loss of sensation, paresthesia, shoulder pain, ache all over, lower body pain"
herpangina,"insomnia, sore throat, cough, vomiting, mouth ulcer, swollen lymph nodes, decreased appetite, fever, skin rash"
injury to the shoulder,"arm pain, arm stiffness or tightness, back pain, neck pain, bones are painful, elbow pain, shoulder pain, shoulder stiffness or tightness, muscle cramps, contractures, or spasms"
poisoning due to antidepressants,"depression, emotional symptoms, abusing alcohol, drug abuse"
infection of open wound,"insomnia, leg pain, hand or finger swelling, abnormal appearing skin"
deep vein thrombosis (dvt),"leg pain, arm swelling, abnormal appearing skin, leg swelling, foot or toe swelling, leg cramps or spasms, leg stiffness or tightness"
protein deficiency,"depression, vomiting, nausea, smoking problems, weakness"
myoclonus,"insomnia, abnormal involuntary movements, seizures, muscle swelling"
bone spur of the calcaneous,"leg pain, foot or toe pain, ankle pain, elbow pain, foot or toe swelling"
von willebrand disease,"blood in stool, muscle swelling, nosebleed"
open wound of the back,"irregular heartbeat, skin lesion, weight gain, lower body pain"
heart block,"shortness of breath, sharp chest pain, dizziness, chest tightness, palpitations, irregular heartbeat, fainting, peripheral edema, weight gain, weakness"
colonic polyp,"blood in stool, flatulence, sharp abdominal pain, diarrhea, pain of the anus, heartburn, upper abdominal pain, rectal bleeding"
magnesium deficiency,"shortness of breath, sharp chest pain, dizziness, leg pain"
female infertility of unknown cause,"pain during intercourse, scanty menstrual flow, long menstrual periods, unpredictable menstruation, infertility"
pericarditis,"shortness of breath, sharp chest pain, chest tightness, palpitations, sharp abdominal pain, lower body pain"
attention deficit hyperactivity disorder (adhd),"anxiety and nervousness, depression, depressive or psychotic symptoms, lack of growth, hostile behavior, drug abuse, restlessness, temper problems, antisocial behavior"
pulmonic valve disease,"shortness of breath, emotional symptoms"
tietze syndrome,"shortness of breath, sharp chest pain, chest tightness, cough, nausea, loss of sensation, difficulty breathing, rib pain"
cranial nerve palsy,"abnormal involuntary movements, difficulty speaking, headache, facial pain, diminished vision, double vision, abnormal movement of eyelid, symptoms of the face"
injury to the arm,"hand or finger pain, wrist pain, hand or finger swelling, arm pain, wrist swelling, arm stiffness or tightness, arm swelling, bones are painful, elbow pain, loss of sensation, joint pain, elbow swelling"
conversion disorder,"anxiety and nervousness, depression, cough, seizures"
complex regional pain syndrome,"abnormal involuntary movements, leg pain, hand or finger pain, arm pain, back pain, neck pain, low back pain, foot or toe pain, problems with movement, loss of sensation, paresthesia, ache all over"
otosclerosis,"dizziness, diminished hearing, emotional symptoms"
injury to the trunk,"sharp chest pain, symptoms of the scrotum and testes, headache, wrist pain, back pain, neck pain, low back pain, bones are painful, shoulder pain, lower body pain, rib pain"
hypothyroidism,"hot flashes, wrist swelling, weight gain, muscle pain, fatigue, too little hair"
primary insomnia,"anxiety and nervousness, insomnia, abnormal involuntary movements, fatigue, delusions or hallucinations, sleepiness, abnormal breathing sounds"
lice,"cough, nasal congestion, itching of skin, itchy scalp, leg lump or mass"
vitamin b12 deficiency,"hot flashes, problems with movement, knee stiffness or tightness, disturbance of memory, fatigue"
diabetes,"weight gain, thirst"
vulvodynia,"sharp abdominal pain, nausea, painful urination, lower abdominal pain, vaginal discharge, back pain, pain during pregnancy, pelvic pain, burning abdominal pain, vaginal pain, side pain, cramps and spasms"
endometriosis,"sharp abdominal pain, lower abdominal pain, hot flashes, intermenstrual bleeding, pelvic pain, burning abdominal pain, heavy menstrual flow, painful menstruation, infertility"
vasculitis,"dizziness, leg pain, headache, skin lesion, foot or toe swelling, leg stiffness or tightness, lymphedema, skin rash"
concussion,"dizziness, difficulty speaking, vomiting, headache, nausea, facial pain, double vision, back pain, neck pain, disturbance of memory, rib pain, sleepiness"
oral leukoplakia,"skin swelling, elbow weakness, tongue lesions"
chronic kidney disease,"shortness of breath, peripheral edema, feeling cold, fatigue, symptoms of the kidneys"
bladder disorder,"retention of urine, suprapubic pain, sharp abdominal pain, painful urination, involuntary urination, frequent urination, lower abdominal pain, blood in urine, symptoms of bladder"
chorioretinitis,"diminished vision, double vision, pain in eye, spots or clouds in vision, muscle swelling"
priapism,"elbow weakness, abusing alcohol, painful urination, penis pain"
myositis,"leg pain, hip pain, headache, knee pain, problems with movement, loss of sensation"
mononucleosis,"sore throat, cough, nasal congestion, feeling ill, headache, swollen lymph nodes, fever, skin rash"
neuralgia,"leg pain, hip pain, headache, arm pain, back pain, neck pain, low back pain, loss of sensation, shoulder pain, ache all over"
polycystic kidney disease,"retention of urine, sharp abdominal pain, blood in urine, skin growth, back pain, low back pain, side pain, kidney mass"
bipolar disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, abusing alcohol, excessive anger, delusions or hallucinations, temper problems, fears and phobias, obsessions and compulsions"
amyloidosis,"anxiety and nervousness, shortness of breath, wrist weakness"
chronic inflammatory demyelinating polyneuropathy (cidp),"dizziness, problems with movement, weakness, loss of sensation"
gastroesophageal reflux disease (gerd),"sharp chest pain, chest tightness, hoarse voice, cough, difficulty in swallowing, sharp abdominal pain, nausea, regurgitation, burning abdominal pain, regurgitation.1"
vitreous hemorrhage,"diminished vision, symptoms of eye, pain in eye, spots or clouds in vision, lacrimation, blindness"
poisoning due to antimicrobial drugs,"shortness of breath, abnormal involuntary movements, peripheral edema, problems with movement, allergic reaction, skin rash"
open wound of the mouth,"lip swelling, toothache, mouth ulcer, peripheral edema, tongue lesions, seizures"
scleroderma,"feeling ill, lip swelling, abnormal appearing skin, skin lesion, skin growth, itching of skin, skin dryness, peeling, scaliness, or roughness, skin irritation"
myasthenia gravis,"shortness of breath, dizziness, double vision, weakness, slurring words, fatigue, coughing up sputum"
hypoglycemia,"depressive or psychotic symptoms, dizziness, abnormal involuntary movements, fainting, feeling ill, nausea, problems with movement, weakness, decreased appetite, seizures, sleepiness, sweating"
idiopathic absence of menstruation,"sharp abdominal pain, nausea, vaginal itching, lower abdominal pain, pelvic pain, heartburn, pain or soreness of breast, absence of menstruation, long menstrual periods"
dislocation of the ankle,"emotional symptoms, foot or toe pain, ankle pain, ankle swelling"
carbon monoxide poisoning,"depressive or psychotic symptoms, dizziness, emotional symptoms, vomiting, headache, nausea"
panic attack,"anxiety and nervousness, shortness of breath, sharp chest pain, chest tightness, irregular heartbeat, weakness, loss of sensation"
plantar fasciitis,"knee pain, foot or toe pain, ankle pain, bones are painful, problems with movement, muscle pain, ankle swelling"
hyperopia,"difficulty speaking, eye deviation, diminished vision, symptoms of eye, spots or clouds in vision, eye redness"
poisoning due to sedatives,"depression, depressive or psychotic symptoms, insomnia, hostile behavior, drug abuse, sleepiness"
pemphigus,"hand or finger pain, abnormal appearing skin, skin lesion"
peyronie disease,"emotional symptoms, mass in scrotum, impotence, symptoms of prostate, penis pain"
hiatal hernia,"sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, nausea, back pain, vomiting blood, regurgitation, burning abdominal pain, heartburn, upper abdominal pain, regurgitation.1"
extrapyramidal effect of drugs,"anxiety and nervousness, abnormal involuntary movements, headache, arm stiffness or tightness, restlessness, seizures"
meniere disease,"dizziness, diminished hearing, headache, nausea, facial pain, ear pain, ringing in ear, allergic reaction"
anal fissure,"blood in stool, sharp abdominal pain, vaginal dryness, pain of the anus, lower body pain, changes in stool appearance, rectal bleeding, constipation"
allergy,"cough, skin swelling, lip swelling, abnormal appearing skin, peripheral edema, itchiness of eye, allergic reaction, fluid retention, swollen eye, itching of skin, skin rash"
chronic otitis media,"cough, nasal congestion, ear pain, plugged feeling in ear, fluid in ear, fever, allergic reaction, pulling at ears, redness in ear, painful sinuses"
fracture of the finger,"hand or finger pain, hand or finger swelling, hand or finger stiffness or tightness, foot or toe pain, foot or toe swelling"
hirschsprung disease,"emotional symptoms, sharp abdominal pain, constipation"
polymyalgia rheumatica,"sharp chest pain, irregular heartbeat, difficulty in swallowing, leg pain, shoulder pain, fatigue"
lymphedema,"throat swelling, leg pain, abnormal appearing skin, skin lesion, peripheral edema, leg swelling, foot or toe swelling, lymphedema, fluid retention"
bladder cancer,"retention of urine, groin mass, mass in scrotum, blood in urine, excessive urination at night, symptoms of bladder, bladder mass"
acute bronchospasm,"shortness of breath, sharp chest pain, chest tightness, sore throat, cough, nasal congestion, vomiting, wheezing, fever, difficulty breathing, coryza"
acute glaucoma,"diminished vision, double vision, symptoms of eye, pain in eye, foreign body sensation in eye, spots or clouds in vision, eye redness, blindness"
open wound of the chest,"sharp chest pain, drug abuse"
dislocation of the patella,"knee pain, knee swelling, knee stiffness or tightness"
sciatica,"leg pain, hip pain, low back pain, problems with movement, loss of sensation, leg cramps or spasms, lower body pain, unusual color or odor to urine, back cramps or spasms, leg weakness"
hypercalcemia,"dizziness, retention of urine, weakness, loss of sensation"
stress incontinence,"retention of urine, painful urination, involuntary urination, frequent urination, blood in urine, hot flashes, intermenstrual bleeding"
varicose veins,"leg pain, skin lesion, peripheral edema, leg swelling, leg cramps or spasms, ache all over, lymphedema, leg lump or mass"
benign kidney cyst,"sharp abdominal pain, vomiting, involuntary urination, blood in urine, low back pain, impotence, side pain"
hydrocele of the testicle,"retention of urine, groin mass, symptoms of the scrotum and testes, swelling of scrotum, pain in testicles, mass in scrotum, lower abdominal pain, groin pain"
degenerative disc disease,"leg pain, hip pain, arm pain, back pain, neck pain, low back pain, loss of sensation, paresthesia, shoulder pain, lower body pain, joint pain"
hirsutism,"abnormal appearing skin, acne or pimples, apnea, unwanted hair"
dislocation of the foot,"elbow weakness, vomiting, foot or toe pain"
hydronephrosis,"suprapubic pain, pain in testicles, sharp abdominal pain, vomiting, nausea, lower abdominal pain, back pain, side pain"
diverticulosis,"blood in stool, sharp abdominal pain, vomiting, nausea, diarrhea, lower abdominal pain, heartburn, upper abdominal pain, melena, rectal bleeding"
pain after an operation,"sharp chest pain, leg pain, sharp abdominal pain, vomiting, headache, nausea, lower abdominal pain, back pain, neck pain, low back pain, side pain"
huntington disease,"anxiety and nervousness, elbow weakness"
lymphoma,"hoarse voice, groin mass, regurgitation, neck mass, itchy ear(s), fatigue, regurgitation.1"
dermatitis due to sun exposure,"skin swelling, lack of growth, abnormal appearing skin, skin lesion, acne or pimples, irregular appearing scalp, skin moles, skin dryness, peeling, scaliness, or roughness, skin rash"
anemia due to chronic kidney disease,"shortness of breath, peripheral edema, recent weight loss, weakness, fatigue, ankle swelling"
injury to internal organ,"sharp chest pain, retention of urine, sharp abdominal pain, frequent urination, back pain, side pain"
scleritis,"abnormal involuntary movements, headache, pain in eye, spots or clouds in vision, eye redness"
pterygium,"acne or pimples, diminished vision, symptoms of eye, foreign body sensation in eye, spots or clouds in vision, eye redness, lacrimation"
fungal infection of the skin,"skin swelling, abnormal appearing skin, skin lesion, acne or pimples, irregular appearing scalp, itching of skin, skin dryness, peeling, scaliness, or roughness, itchy scalp, too little hair, skin rash"
insulin overdose,"depressive or psychotic symptoms, emotional symptoms"
syndrome of inappropriate secretion of adh (siadh),"dizziness, feeling ill, cross-eyed"
foreign body in the ear,"diminished hearing, throat feels tight, ear pain, fluid in ear, bleeding from ear"
premenstrual tension syndrome,"depressive or psychotic symptoms, headache, lower abdominal pain, back pain, unpredictable menstruation, premenstrual tension or irritability"
orbital cellulitis,"diminished hearing, symptoms of eye, pain in eye, peripheral edema, eye redness, fever, swollen eye"
injury to the leg,"leg pain, knee pain, foot or toe pain, ankle pain, knee swelling, problems with movement, knee stiffness or tightness, leg swelling, foot or toe swelling, infant feeding problem, irregular appearing nails, ankle swelling"
hepatic encephalopathy,"shortness of breath, depressive or psychotic symptoms, abusing alcohol, fainting, sharp abdominal pain, fluid retention"
bone cancer,"leg pain, low back pain, peripheral edema, problems with movement, fatigue"
syringomyelia,"fainting, headache, back pain, shoulder pain"
pulmonary fibrosis,"shortness of breath, sharp chest pain, chest tightness, cough, fainting, fever, difficulty breathing"
mitral valve disease,"shortness of breath, sharp chest pain, dizziness, chest tightness, irregular heartbeat, increased heart rate, fatigue, sweating, nightmares"
parkinson disease,"dizziness, abnormal involuntary movements, difficulty speaking, problems with movement, weakness, focal weakness, disturbance of memory, leg stiffness or tightness, stiffness all over"
gout,"hand or finger pain, wrist pain, hand or finger swelling, wrist swelling, knee pain, foot or toe pain, ankle pain, knee swelling, leg swelling, foot or toe swelling, joint pain, ankle swelling"
otitis media,"sore throat, cough, nasal congestion, diminished hearing, vomiting, ear pain, plugged feeling in ear, fluid in ear, fever, coryza, pulling at ears"
drug abuse (opioids),"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, abusing alcohol, drug abuse, restlessness, excessive anger, delusions or hallucinations, temper problems"
myelodysplastic syndrome,"difficulty speaking, chills, fatigue"
fracture of the shoulder,"arm pain, arm stiffness or tightness, neck swelling, bones are painful, shoulder pain, shoulder stiffness or tightness, shoulder swelling"
acute kidney injury,"shortness of breath, sharp chest pain, dizziness, retention of urine, sharp abdominal pain, vomiting, nausea, peripheral edema, weakness, kidney mass, symptoms of the kidneys"
threatened pregnancy,"sharp abdominal pain, lower abdominal pain, vaginal discharge, intermenstrual bleeding, back pain, pelvic pain, problems during pregnancy, spotting or bleeding during pregnancy, cramps and spasms, blood clots during menstrual periods, uterine contractions"
intracranial abscess,"depressive or psychotic symptoms, headache, seizures"
gum disease,"lip swelling, toothache, facial pain, mouth ulcer, peripheral edema, ear pain, jaw swelling, fever, gum pain, bleeding gums, pain in gums"
open wound from surgical incision,"skin swelling, flatulence, skin lesion"
gastrointestinal hemorrhage,"dizziness, blood in stool, fainting, sharp abdominal pain, vomiting, nausea, diarrhea, vomiting blood, weakness, changes in stool appearance, melena, rectal bleeding"
seborrheic dermatitis,"abnormal appearing skin, skin lesion, acne or pimples, skin growth, irregular appearing scalp, symptoms of the face, itching of skin, skin dryness, peeling, scaliness, or roughness, too little hair, skin rash, dry or flaky scalp"
